Дата,Kлики,Показы,CTR,Позиция
2026-08-13,0,3,0%,6.3
2026-08-14,0,67,0%,31.3
2026-08-15,0,520,0%,48.1
2026-08-16,3,1374,0.22%,59.4
2026-08-17,1,1341,0.07%,49.4
2026-08-18,4,1159,0.35%,56.1
2026-08-19,2,806,0.25%,51.1
2026-08-20,3,942,0.32%,56.6
2026-08-21,2,716,0.28%,51.3
2026-08-22,2,702,0.28%,55.2
2026-08-23,3,1150,0.26%,56.8
2026-08-24,2,755,0.26%,42.4
2026-08-25,2,827,0.24%,54.7
2026-08-26,1,514,0.19%,51.9
2026-08-27,1,663,0.15%,52.8
2026-08-28,0,682,0%,56.7
2026-08-29,2,639,0.31%,56.5
2026-08-30,0,989,0%,57.2
2026-08-31,0,811,0%,44.7
