Страна,Kлики,Показы,CTR,Позиция
Россия,8,3252,0.25%,42.92
Германия,4,225,1.78%,39.33
Украина,2,3099,0.06%,63.14
Иордания,2,99,2.02%,65.66
США,1,2053,0.05%,56.94
Бангладеш,1,368,0.27%,64.93
Франция,1,142,0.7%,53.27
Алжир,1,129,0.78%,66.43
Нидерланды,1,115,0.87%,21.77
Казахстан,1,52,1.92%,22.85
Саудовская Аравия,1,49,2.04%,61.14
Италия,1,46,2.17%,29.96
Канада,1,24,4.17%,22.67
Иран,1,7,14.29%,10.57
Сирия,1,4,25%,5.75
Ливия,1,3,33.33%,9.33
Великобритания,0,679,0%,42.79
Вьетнам,0,581,0%,65.65
Индия,0,521,0%,60.72
Турция,0,456,0%,67.05
Филиппины,0,398,0%,69.26
Индонезия,0,266,0%,62.39
Таиланд,0,200,0%,60.98
Марокко,0,157,0%,64.29
Малайзия,0,151,0%,63.54
Мексика,0,148,0%,65.18
Польша,0,111,0%,37.29
Нигерия,0,88,0%,51.35
Объединенные Арабские Эмираты,0,78,0%,48.73
Бразилия,0,71,0%,40.45
Австралия,0,66,0%,41.79
Израиль,0,61,0%,50.23
Южная Африка,0,61,0%,52.25
Испания,0,54,0%,41.87
Финляндия,0,41,0%,10.68
Швеция,0,40,0%,26.62
Чехия,0,34,0%,43.09
Пакистан,0,33,0%,32.85
Дания,0,32,0%,31.12
Афганистан,0,28,0%,72.07
Беларусь,0,27,0%,16.63
Гонконг,0,26,0%,27
Швейцария,0,26,0%,37.88
Латвия,0,25,0%,20.16
Сингапур,0,23,0%,12.87
Венгрия,0,23,0%,24.09
Румыния,0,23,0%,27.13
Армения,0,22,0%,19.41
Сербия,0,22,0%,34.5
Норвегия,0,21,0%,42.43
Узбекистан,0,20,0%,19.4
Бахрейн,0,19,0%,27.74
Ирак,0,18,0%,49.39
Чили,0,16,0%,41.88
Аргентина,0,15,0%,20.2
Литва,0,15,0%,24.07
Молдова,0,15,0%,33.13
Эстония,0,14,0%,14.14
Тайвань,0,13,0%,12.31
Греция,0,13,0%,30.54
Австрия,0,12,0%,26.42
Япония,0,11,0%,13.36
Грузия,0,10,0%,13
Азербайджан,0,10,0%,36.3
Болгария,0,10,0%,39.7
Венесуэла,0,10,0%,42.7
Словакия,0,9,0%,29.78
Египет,0,9,0%,30.89
Китай,0,8,0%,8.88
Кыргызстан,0,8,0%,9.88
Южная Корея,0,7,0%,25.14
Гваделупа,0,7,0%,34.29
Таджикистан,0,6,0%,13.5
Кипр,0,5,0%,34
Буркина-Фасо,0,4,0%,6.5
Тунис,0,4,0%,10.25
Лаос,0,4,0%,22.75
Ливан,0,4,0%,24
Доминиканская Республика,0,4,0%,42.25
Пуэрто-Рико,0,3,0%,5.67
Сомали,0,3,0%,6
Хорватия,0,3,0%,6.67
Бельгия,0,3,0%,24
Непал,0,3,0%,24.33
Уругвай,0,3,0%,27.67
Новая Зеландия,0,3,0%,29.67
Ангола,0,3,0%,31
Эфиопия,0,3,0%,31.67
Ямайка,0,3,0%,40
Боливия,0,3,0%,46.33
Колумбия,0,3,0%,51.67
Коста-Рика,0,3,0%,73.33
Монако,0,2,0%,6
Нигерия,0,2,0%,6.5
Гана,0,2,0%,8
Кот д’Ивуар,0,2,0%,9
Сент-Люсия,0,2,0%,9.5
Камбоджа,0,2,0%,10
Португалия,0,2,0%,11.5
Албания,0,2,0%,17.5
Люксембург,0,2,0%,17.5
Катар,0,2,0%,18
Ирландия,0,2,0%,19.5
Шри-Ланка,0,2,0%,26
Монголия,0,2,0%,36.5
Эквадор,0,2,0%,39.5
Сальвадор,0,2,0%,42
Македония,0,2,0%,45
Конго – Киншаса,0,2,0%,51.5
Мальта,0,2,0%,61
Танзания,0,1,0%,3
Черногория,0,1,0%,5
Оман,0,1,0%,6
Гвинея,0,1,0%,8
Кения,0,1,0%,9
Маврикий,0,1,0%,9
Йемен,0,1,0%,9
Аландские о-ва,0,1,0%,10
Южный Судан,0,1,0%,10
Сейшелы,0,1,0%,10
Восточный Тимор,0,1,0%,10
Косово,0,1,0%,10
Камерун,0,1,0%,11
Куба,0,1,0%,11
Словения,0,1,0%,11
Кувейт,0,1,0%,17
Мадагаскар,0,1,0%,19
Бермуды,0,1,0%,40
Перу,0,1,0%,52
Парагвай,0,1,0%,55
Панама,0,1,0%,57
Гондурас,0,1,0%,79
Мьянма (Бирма),0,1,0%,85
Габон,0,1,0%,86
Джибути,0,1,0%,120
