action,video_id,title,extra
"updated","cHC6rHvFbEw","Запускаем вирус Win95.CIH (Чернобыль) из windows 8.1, в 2022 году","desc_len=427"
"updated","6uNvxlHNe_c","Запуск тяжелой программы, на слабом компьютере","desc_len=443"
"updated","PGKZtfiOXmI","Установка и настройка яндекс диска windows","desc_len=391"
"updated","wCysGK7pyxw","Как создать значок мой компьютер на рабочем столе windows","desc_len=406"
"updated","j-SQfzSwZx4","Где находится папка корзины в windows","desc_len=391"
"updated","FtxtPQAMPmY","Вариант установки Windows/Linux без загрузочной флешки или CD/DVD","desc_len=431"
"updated","Dhl7l9fuHss","Как увеличить звук микрофона в windows","desc_len=469"
"updated","qEXRSMWkVJU","Не удалось подключиться к интернету windows","desc_len=391"
"updated","-nCMusl6Txw","Создал онлайн эмулятор ZX Spectrum","desc_len=503"
"updated","8u75sjrrJA0","Что будет если удалить реестр windows полностью.","desc_len=432"
"updated","-ajhZCNtdXI","Обзор браузера dplus для windows 95","desc_len=414"
"updated","1jaIHF2MFcA","Быстрая и лёгкая установка windows 11pe","desc_len=612"
"updated","lztZAeewznM","Можно ли выключать компьютер или ноутбук кнопкой включения?","desc_len=579"
"updated","tBW4GjXpGlU","Установка kolibri ос на реальный жесткий диск","desc_len=522"
"updated","vlcswQpQyv0","Установка колибри ос на жесткий диск в windows","desc_len=541"
"updated","2m1i3gS47io","Почему windows 8.1 лучшая система в 2021 году","desc_len=470"
"updated","fgSirIEiE_o","Как пользоваться WordPad","desc_len=435"
"updated","OplL-rHeYMA","срок действия вашей лицензии windows истекает как убрать сообщение","desc_len=499"
"updated","zLkcoM3NAx0","Как установить Windows 2000 на современный компьютер из win vista, 7, 8","desc_len=428"
"updated","BXlRVYReF9o","Как пользоваться Paint?","desc_len=584"
"updated","zkQCPWkMp6s","Обзор Windows Chicago Build 122","desc_len=452"
"updated","BoljyAJNvPo","Как почистить кэш компьютера Windows.","desc_len=468"
"updated","KnFT2aO_dCM","Как удалить программу с компьютера на Windows 10","desc_len=356"
"updated","r-WKeMfzzaU","Как установить PuppyRus из под Windows Vista,7,8,10","desc_len=460"
"updated","qxNaKNbbR_k","Как узнать конфигурацию(характеристики) компьютера","desc_len=254"
"updated","KOapI9f5pkA","Настройка совместимости старых  программ с Windows 10","desc_len=344"
"updated","EXp_8nMW69o","Краткий обзор windows 95 OSR2","desc_len=349"
"updated","bp2H7-_0Dsc","Делаю сборку Windows nt 4.0, на ядре Windows 7. Часть 2","desc_len=429"
"updated","_3bIa8t65lU","Делаю сборку Windows nt 4.0, на ядре Windows 7","desc_len=436"
"updated","I4DPvWqPHFw","Как изменить загрузочное меню windows vista, 7, 8, 8.1, 10.","desc_len=364"
"updated","U4XT4B0e6HA","Как поменять систему, загружающуюся по умолчанию?","desc_len=303"
"updated","nTTtkTf5Aw4","Как убрать программу из автозагрузки windows 8, 8.1, 10, 11","desc_len=350"
"updated","tmVvMnQ0HJM","Установка GRUB4DOS в windows vista, 7, 8, 8.1, 10, 11","desc_len=381"
"updated","HHQUaE7Oo7I","Как начать пользоваться принтером","desc_len=345"
"updated","lPkQTsANKPA","ФотоМАСТЕР как пользоваться. Обзор программы PhotoMaster","desc_len=322"
"updated","WuG69V1dPsY","Как запустить  fl studio на слабом компьютере. фрути лупс","desc_len=393"
"updated","3Xtght2Jlx4","Почему Microsoft вытисняет стороннее программное обеспечение","desc_len=254"
"updated","whdAKX8U1Do","Запуск windows 7, 8, 10, 11 через ntldr, boot.ini","desc_len=254"
"updated","Nhv0d2VxxZk","Установка windows 2000 на современный компьютер из windows vista, 7, 8","desc_len=425"
"updated","0NPlZZxAF1s","Уроки компьютерной грамотности для начинающих, основы Windows","desc_len=370"
"updated","6DD8a3kcg2A","Chrome заблокировал загрузку файла, как сохранить","desc_len=332"
"updated","ZBPbQTeJGpI","Как убрать или заменить фон у картинки, автоматически без программ, online","desc_len=480"
"updated","foHukZqIOQs","Как изменить или удалить букву диска в windows vista, 7, 8, 8.1, 10, 11","desc_len=448"
"updated","QeWWK3quW4s","Как подключить виртуальный floppy диск в windows, с помощью Virtual Floppy Drive","desc_len=372"
"updated","8ko2gwgMIYk","Запись файлов на CD, DVD диски с помощью программы UltraISO","desc_len=316"
"updated","dgjP7CFRY5g","Загрузка файлов с сайта, через bat, cmd, Power Shell","desc_len=319"
"updated","GiNLYq1Yyh4","Как включить и отключить тестовый режим","desc_len=314"
"updated","X-AK6uOvh-0","Как создать Web-Installer,  программу установки, для загрузки файлов с сервера(сайта)","desc_len=346"
"updated","ygntahlJ6mg","Установка MS-DOS 7.01 через интернет","desc_len=310"
"updated","NbXog4GxY_8","Почему многие не любят браузер Microsoft Edge","desc_len=254"
"updated","7bXSD13UknQ","Работа с текстовыми документами(файлами) txt обзор программы блокнот, NOTEPAD windows","desc_len=254"
"updated","_CJaLAkmaGY","Краткий обзор bandicam","desc_len=288"
"updated","4JoZGHvX5Hc","Разгон оперативной памяти","desc_len=55"
"updated","tqH8BAa3GVc","EasyBCD как пользоваться","desc_len=254"
"updated","9WUtbWgeS-w","Почему не записывается звук в Bandicam","desc_len=254"
"updated","Avf5ChwTezE","Как узнать конфигурацию компьютера в windows.","desc_len=254"
"updated","8sHc6Ao3nXs","Как изменить оформление windows","desc_len=254"
"updated","J_-zIt3isTc","Эволюция систем линейки windows","desc_len=254"
"updated","Gnu8HvK9-0Q","Как узнать расположение программы Windows","desc_len=254"
"updated","VnbPuejvEu4","Как ускорить работу программ, в Windows 10","desc_len=254"
"updated","hlAXU02TlsU","multisetup засрёт ваш компьютер","desc_len=254"
"updated","vKuF9eLdX2w","Начальный курс программирования на qbasic","desc_len=254"
"updated","xVi3-JaMwYY","Обзор моего логова","desc_len=254"
"updated","NgvlZ7AMs4w","Установка MS-DOS 6.22 из командной строки windows.","desc_len=153"
"updated","fxpZ57n7rfs","Сделал Repack winword 6.0 для windows 10","desc_len=330"
"updated","V8U1jXXq39I","Обзор утилиты dos-tame для улучьшения работы ntvdm","desc_len=512"
"updated","HItnRrRFlqI","Кто автор моих программ","desc_len=0"
"updated","mcoA04OvVNw","Как установить Diablo 1 в Linux Debian, Ubuntu и Linux Mint","desc_len=254"
"updated","z51HfSaVaOk","Вирус neshta как бороться","desc_len=407"
